,Name,Price,About,Stars
20,Магнитой GL-1001 Конструктор магнитный 6 квадратов (2 - с окном),319.0,"Магнитой — это серия магнитных конструкторов, которые состоят из необычных разноцветных пластиковых деталей в виде различных плоских геометрических фигур и позволяют собирать объемные конструкции.    Игровой набор состоит из 6 квадратных деталей, две из которых с окошком. С помощью деталей юный архитектор сможет соорудить самые разные оригинальные 3D фигуры. Каждая деталь конструктора присоединяется к другой с помощью магнита, расположенного внутри.    Игровой процесс увлечет ребенка и будет способствовать развитию логики, мышления, фантазии, воображения и мелкой моторики рук.    Купить Магнитой GL-1001 Конструктор магнитный 6 квадратов (2 - с окном) по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
21,LEGO City 60254 Конструктор ЛЕГО Город Great Vehicles Транспортировщик скоростных катеров,2079.0,"С игровыми наборами LEGO City можно строить реалистичные здания и транспорт, знакомиться с профессиями и отдыхать. Все, как в самом настоящем городе!    Транспортировщик водного транспорта всегда наготове, если что-то сломалось. На него можно установить спортивную лодку и отвезти для ремонта.            Купить LEGO City 60254 Конструктор ЛЕГО Город Great Vehicles Транспортировщик скоростных катеров по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
22,LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечный дом,4549.0,"Красивый модульный 3-х этажный домик с 6 игровыми зонами и игровой площадкой перед домом. В каждой комнате принтованные детали и предметы мебели. На игровой площадке размещен стол со стульями, где 3 фигурки могут выпить чай и поесть торт.            Купить LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечный дом по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
23,LEGO Creator 31105 Конструктор ЛЕГО Криэйтор Городской магазин игрушек,3029.0,"Из деталей одного набора можно собрать 3 здания: магазин детских игрушек, магазин сладостей и магазин цветов. В комплекте 2 персонажа, комплект денежных купюр, 3 птички.            Купить LEGO Creator 31105 Конструктор ЛЕГО Криэйтор Городской магазин игрушек по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
24,LEGO Friends 41396 Конструктор ЛЕГО Подружки Игровая площадка для щенков,659.0,"Миа обожает гулять вместе со своими собачками. Они идут на специальную площадку, где много интересных аттракционов: карусель и горка. Во время перерыва Миа кормит собачек и причесывает их.            Купить LEGO Friends 41396 Конструктор ЛЕГО Подружки Игровая площадка для щенков по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
25,"LEGO DOTs 41912 ЛЕГО Дотс Браслет ""Попугайчики""",429.0,"Творческий конструктор состоит из разноцветных 2D плиток разных геометрических форм, с помощью которых можно создавать украшения, декорировать их по своему вкусу и носить их.            Купить LEGO DOTs 41912 ЛЕГО Дотс Браслет ""Попугайчики"" по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
26,LEGO Unikitty 41452 Конструктор ЛЕГО Юникитти Велосипед принца Паппикорна,439.0,"Маленьким поклонникам мультсериала о Юникитти — забавной кошечке-единороге, и ее друзьях очень понравится игровой набор LEGO Unikitty. На этот раз Вашему ребенку предстоит отправиться навстречу приключениям вместе с принцем Паппикорном на его велосипеде. Но не стоит слишком быстро ехать, потому что Дино и Кикфлип совсем не успевают. Прогулка получится очень веселой, но утомительной. Можно устроить пикник, чтобы отдохнуть, перекусив пиццей и мороженным, а потом поиграть в мячик.      Игровой процесс будет очень занимательным и интересным, ребенок может не только восстановить сюжеты из мультика, но и придумать собственные интересные истории. Конструктор способствует развитию фантазии, воображения и мелкой моторики рук.    Купить LEGO Unikitty 41452 Конструктор ЛЕГО Юникитти Велосипед принца Паппикорна можно в нашем интернет-магазине Toy.ru по привлекательной цене. Доставка осуществляется во все регионы России, а также в республики Беларусь и Казахстан.",5.0
27,Конструктор Лего Кино 2 70820 Конструктор 2 Набор кинорежиссёра LEGO,2509.0,"Набор конструктора LEGO Movie 2: Набор кинорежиссёра LEGO состоит из 482 деталей.    LEGO Movie – это серия полнометражных мультфильмов о вселенной, где все сделано из кубиков ЛЕГО. Вторая часть расскажет нам о нападении на вселенную инопланетян DUPLO. Наборы конструкторов позволяют повторить сюжеты мультиков или придумать собственные приключения.    В состав набора входят детали для сборки Многолики Прекрасной, Ультракити, инопланетян ДУПЛО, космических кораблей, а также реквизит, декорации, сцена с двумя фонами, держатель для смартфона. Вы сможете создавать забавные видеоролики, используя специальное приложение для мобильных устройств, которое можно скачать бесплатно на App Store и Google Play.    Купить LEGO Movie 2 70820 Конструктор ЛЕГО Фильм 2 Набор кинорежиссёра LEGO по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
28,LEGO Disney Princess 41158 Конструктор ЛЕГО Принцессы Дисней Башенка Жасмин,699.0,"Набор конструктора LEGO Disney Princess Башенка Жасмин состоит из 49 деталей. С ним девочка от 5 лет сможет собственными руками собрать дворцовую башенку.    Принцесса Жасмин – главная героиня мультфильма Disney «Аладдин». Она одета в бирюзовый топ и бирюзовые штаны, а на ее ножках красуются золотистые туфельки. Принцесса Жасмин отдыхает в своей башенке с балкончиком, которую можно собрать из деталей набора. А дополнительные аксессуары сделают игру еще увлекательнее!    Серия LEGO Disney Princess посвящена героиням любимых диснеевских мультфильмов. Как же чудесно поиграть за любимую принцессу, которая выглядит точно как в мультике!    Купить Lego Disney Princess 41158 Конструктор Лего Принцессы Дисней Башенка Жасмин по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
29,Магнитой GL-1002 Конструктор магнитный 8 треугольников (2 - с окном),319.0,"Магнитой — это серия магнитных конструкторов, которые состоят из необычных разноцветных пластиковых деталей в виде различных плоских геометрических фигур и позволяют собирать объемные конструкции.    Игровой набор состоит из 8 треугольных деталей, две из которых с окошком. С помощью деталей юный архитектор сможет соорудить самые разные оригинальные 3D фигуры. Каждая деталь конструктора присоединяется к другой с помощью магнита, расположенного внутри.    Игровой процесс увлечет ребенка и будет способствовать развитию логики, мышления, фантазии, воображения и мелкой моторики рук.    Купить Магнитой GL-1002 Конструктор магнитный 8 треугольников (2 - с окном) по привлекательной цене Вы можете в сети розничных магазинов TOY.RU Вашего города или заказать на нашем сайте с доставкой в любой регион России.",5.0
